model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
gradient_boosting,firm_core,42,validation,6043,904,0.14959457223233494,0.6911399768870081,0.888015707577143,0.6024258990566408,0.5561643835616439,0.6736725663716814,0.6093046523261632,4653,486,295,609,failure_pressure_profit_roa_next_4obs
gradient_boosting,firm_core,42,test,4412,591,0.13395285584768812,0.6911399768870081,0.907243610096665,0.6443970805216384,0.5657894736842105,0.727580372250423,0.6365655070318282,3491,330,161,430,failure_pressure_profit_roa_next_4obs
logistic_l2,ratios_trends_only,42,train,17197,1694,0.09850555329417922,0.4820699218505682,0.9148716769675764,0.5928836617149826,0.37823834196891193,0.8187721369539551,0.5174407759746317,13223,2280,307,1387,failure_pressure_profit_roa_next_4obs
logistic_l2,ratios_trends_only,42,validation,6043,904,0.14959457223233494,0.4820699218505682,0.8563412788204723,0.5555726034757176,0.4753395282344532,0.7356194690265486,0.5775075987841946,4405,734,239,665,failure_pressure_profit_roa_next_4obs
logistic_l2,ratios_trends_only,42,test,4412,591,0.13395285584768812,0.4820699218505682,0.8761975740973718,0.5736389073106927,0.4298808432630614,0.7935702199661591,0.5576694411414983,3199,622,122,469,failure_pressure_profit_roa_next_4obs
random_forest,ratios_trends_only,42,train,17197,1694,0.09850555329417922,0.38395180605988694,0.994499979095336,0.948402908914856,0.6451981707317073,0.999409681227863,0.7841593330245483,14572,931,1,1693,failure_pressure_profit_roa_next_4obs
random_forest,ratios_trends_only,42,validation,6043,904,0.14959457223233494,0.38395180605988694,0.888437714716716,0.6063511970599512,0.5281173594132029,0.7168141592920354,0.6081651806663538,4560,579,256,648,failure_pressure_profit_roa_next_4obs
random_forest,ratios_trends_only,42,test,4412,591,0.13395285584768812,0.38395180605988694,0.9066544268892501,0.660955798764613,0.5213483146067416,0.7851099830795262,0.6266036461850101,3395,426,127,464,failure_pressure_profit_roa_next_4obs
gradient_boosting,ratios_trends_only,42,train,17197,1694,0.09850555329417922,0.7254984881776705,0.9492509580923555,0.7089959696607241,0.5607638888888888,0.7626918536009445,0.6463231615807904,14491,1012,402,1292,failure_pressure_profit_roa_next_4obs
gradient_boosting,ratios_trends_only,42,validation,6043,904,0.14959457223233494,0.7254984881776705,0.888967349282857,0.6133013531323438,0.5477477477477477,0.672566371681416,0.6037735849056605,4637,502,296,608,failure_pressure_profit_roa_next_4obs
gradient_boosting,ratios_trends_only,42,test,4412,591,0.13395285584768812,0.7254984881776705,0.9068745126119747,0.6412794322960853,0.5619295958279009,0.7292724196277496,0.6347569955817378,3485,336,160,431,failure_pressure_profit_roa_next_4obs
logistic_l2,raw_accounting_only,42,train,17197,1694,0.09850555329417922,0.5386338159070757,0.8219781470486613,0.3471998576186585,0.2585551330798479,0.7225501770956316,0.38083385189794644,11993,3510,470,1224,failure_pressure_profit_roa_next_4obs
logistic_l2,raw_accounting_only,42,validation,6043,904,0.14959457223233494,0.5386338159070757,0.7749687019443541,0.38411669625756173,0.37771918259723136,0.6338495575221239,0.4733581164807931,4195,944,331,573,failure_pressure_profit_roa_next_4obs
logistic_l2,raw_accounting_only,42,test,4412,591,0.13395285584768812,0.5386338159070757,0.7777873723934566,0.3253414513160575,0.3674698795180723,0.6192893401015228,0.4612476370510397,3191,630,225,366,failure_pressure_profit_roa_next_4obs
random_forest,raw_accounting_only,42,train,17197,1694,0.09850555329417922,0.35536405308042607,0.9937527611101055,0.9366522456084125,0.5847428374180187,1.0,0.7379655848399042,14300,1203,0,1694,failure_pressure_profit_roa_next_4obs
random_forest,raw_accounting_only,42,validation,6043,904,0.14959457223233494,0.35536405308042607,0.8672922618463356,0.5288728978897382,0.5033003300330033,0.6747787610619469,0.5765595463137997,4537,602,294,610,failure_pressure_profit_roa_next_4obs
random_forest,raw_accounting_only,42,test,4412,591,0.13395285584768812,0.35536405308042607,0.8467275644304275,0.5386980683668914,0.45593419506462984,0.6565143824027073,0.5381414701803051,3358,463,203,388,failure_pressure_profit_roa_next_4obs
gradient_boosting,raw_accounting_only,42,train,17197,1694,0.09850555329417922,0.6662253534242448,0.9250564178422717,0.6284020847277059,0.4712430426716141,0.7497048406139315,0.5787195260879472,14078,1425,424,1270,failure_pressure_profit_roa_next_4obs
gradient_boosting,raw_accounting_only,42,validation,6043,904,0.14959457223233494,0.6662253534242448,0.8450055277446284,0.5121115338162923,0.5043554006968641,0.6404867256637168,0.564327485380117,4570,569,325,579,failure_pressure_profit_roa_next_4obs
gradient_boosting,raw_accounting_only,42,test,4412,591,0.13395285584768812,0.6662253534242448,0.8489751400555572,0.5489881350424984,0.4852374839537869,0.6395939086294417,0.5518248175182482,3420,401,213,378,failure_pressure_profit_roa_next_4obs
