model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
gradient_boosting,ratios_trends_only,42,validation,6012,488,0.08117099135063206,0.7937985216716003,0.9613949858145084,0.7075596429028432,0.6686274509803921,0.6987704918032787,0.6833667334669339,5355,169,147,341,success_quality_growth_next_4obs
gradient_boosting,ratios_trends_only,42,test,4350,352,0.08091954022988505,0.7937985216716003,0.9536124596389103,0.5990870421029244,0.5572354211663066,0.7329545454545454,0.6331288343558282,3793,205,94,258,success_quality_growth_next_4obs
logistic_l2,raw_accounting_only,42,train,17164,1390,0.08098345374038686,0.8089271571978411,0.9381485606493885,0.5669582609750918,0.5480706344015697,0.6028776978417266,0.5741692360397397,15083,691,552,838,success_quality_growth_next_4obs
logistic_l2,raw_accounting_only,42,validation,6012,488,0.08117099135063206,0.8089271571978411,0.9041997067936041,0.4662835507587449,0.521484375,0.5471311475409836,0.5339999999999999,5279,245,221,267,success_quality_growth_next_4obs
logistic_l2,raw_accounting_only,42,test,4350,352,0.08091954022988505,0.8089271571978411,0.8897840255354951,0.39493288987378333,0.4618937644341801,0.5681818181818182,0.5095541401273885,3765,233,152,200,success_quality_growth_next_4obs
random_forest,raw_accounting_only,42,train,17164,1390,0.08098345374038686,0.454741357659082,0.997216072710489,0.967353372714375,0.7244258872651357,0.9985611510791367,0.8396854204476709,15246,528,2,1388,success_quality_growth_next_4obs
random_forest,raw_accounting_only,42,validation,6012,488,0.08117099135063206,0.454741357659082,0.9517214746975938,0.6948081122679943,0.6086175942549371,0.694672131147541,0.6488038277511962,5306,218,149,339,success_quality_growth_next_4obs
random_forest,raw_accounting_only,42,test,4350,352,0.08091954022988505,0.454741357659082,0.9434589453817819,0.5452835375437391,0.5570776255707762,0.6931818181818182,0.6177215189873417,3804,194,108,244,success_quality_growth_next_4obs
gradient_boosting,raw_accounting_only,42,train,17164,1390,0.08098345374038686,0.789888886123532,0.972307220788603,0.7376449309689949,0.6517967781908303,0.7568345323741007,0.7003994673768309,15212,562,338,1052,success_quality_growth_next_4obs
gradient_boosting,raw_accounting_only,42,validation,6012,488,0.08117099135063206,0.789888886123532,0.9458324924917796,0.653939953399822,0.677570093457944,0.5942622950819673,0.6331877729257642,5386,138,198,290,success_quality_growth_next_4obs
gradient_boosting,raw_accounting_only,42,test,4350,352,0.08091954022988505,0.789888886123532,0.9322630065032516,0.5168204842393606,0.5420289855072464,0.53125,0.5365853658536586,3840,158,165,187,success_quality_growth_next_4obs
logistic_l2,macro_event_only,42,train,17164,1390,0.08098345374038686,0.6605044815648954,0.7487901500784919,0.20365883764435,0.23113207547169812,0.42302158273381296,0.29893238434163705,13818,1956,802,588,success_quality_growth_next_4obs
logistic_l2,macro_event_only,42,validation,6012,488,0.08117099135063206,0.6605044815648954,0.6540014289360288,0.13056871786842564,0.13253012048192772,0.5635245901639344,0.2145922746781116,3724,1800,213,275,success_quality_growth_next_4obs
logistic_l2,macro_event_only,42,test,4350,352,0.08091954022988505,0.6605044815648954,0.5938029384010187,0.11789506951494921,0.1939655172413793,0.1278409090909091,0.1541095890410959,3811,187,307,45,success_quality_growth_next_4obs
random_forest,macro_event_only,42,train,17164,1390,0.08098345374038686,0.39656877421460157,0.9396458337324054,0.5245481324624915,0.2970950704225352,0.9712230215827338,0.455005055611729,12580,3194,40,1350,success_quality_growth_next_4obs
random_forest,macro_event_only,42,validation,6012,488,0.08117099135063206,0.39656877421460157,0.7029397057252408,0.19869344198677585,0.22234392113910187,0.41598360655737704,0.2897930049964311,4814,710,285,203,success_quality_growth_next_4obs
random_forest,macro_event_only,42,test,4350,352,0.08091954022988505,0.39656877421460157,0.6762980211696757,0.15546651953875526,0.17966101694915254,0.15056818181818182,0.16383307573415765,3756,242,299,53,success_quality_growth_next_4obs
gradient_boosting,macro_event_only,42,train,17164,1390,0.08098345374038686,0.5892365241063475,0.7871272324095839,0.2589031903572173,0.24053030303030304,0.4568345323741007,0.31513647642679904,13769,2005,755,635,success_quality_growth_next_4obs
gradient_boosting,macro_event_only,42,validation,6012,488,0.08117099135063206,0.5892365241063475,0.718366984306929,0.18694755372157587,0.21302998965873837,0.42213114754098363,0.2831615120274914,4763,761,282,206,success_quality_growth_next_4obs
gradient_boosting,macro_event_only,42,test,4350,352,0.08091954022988505,0.5892365241063475,0.701063244690527,0.15755512300479052,0.18309859154929578,0.2585227272727273,0.21436984687868083,3592,406,261,91,success_quality_growth_next_4obs
logistic_l2,all_features,42,train,17164,1390,0.08098345374038686,0.9761901280181952,0.9575855177402391,0.6439868164028615,0.782608695652174,0.14244604316546763,0.24102251978088865,15719,55,1192,198,success_quality_growth_next_4obs
logistic_l2,all_features,42,validation,6012,488,0.08117099135063206,0.9761901280181952,0.9036280581901923,0.42509906998567565,0.423785594639866,0.5184426229508197,0.4663594470046083,5180,344,235,253,success_quality_growth_next_4obs
logistic_l2,all_features,42,test,4350,352,0.08091954022988505,0.9761901280181952,0.9068461787712037,0.4086517747875224,0.42613636363636365,0.6392045454545454,0.5113636363636364,3695,303,127,225,success_quality_growth_next_4obs
random_forest,all_features,42,train,17164,1390,0.08098345374038686,0.3963409823300203,0.9979911848383599,0.9760993680373948,0.7417289220917823,1.0,0.8517156862745099,15290,484,0,1390,success_quality_growth_next_4obs
random_forest,all_features,42,validation,6012,488,0.08117099135063206,0.3963409823300203,0.9581568802602058,0.7096459047870339,0.6486988847583643,0.7151639344262295,0.6803118908382066,5335,189,139,349,success_quality_growth_next_4obs
random_forest,all_features,42,test,4350,352,0.08091954022988505,0.3963409823300203,0.9526595684205739,0.5863589587818836,0.5698924731182796,0.7528409090909091,0.6487148102815178,3798,200,87,265,success_quality_growth_next_4obs
gradient_boosting,all_features,42,train,17164,1390,0.08098345374038686,0.8422173996094464,0.9808068417840851,0.797428537556254,0.7060333761232349,0.7913669064748201,0.7462686567164178,15316,458,290,1100,success_quality_growth_next_4obs
gradient_boosting,all_features,42,validation,6012,488,0.08117099135063206,0.8422173996094464,0.9610774444747807,0.7149849245608115,0.68125,0.6700819672131147,0.6756198347107438,5371,153,161,327,success_quality_growth_next_4obs
gradient_boosting,all_features,42,test,4350,352,0.08091954022988505,0.8422173996094464,0.950832660648506,0.5758869418581438,0.5714285714285714,0.6931818181818182,0.626444159178434,3815,183,108,244,success_quality_growth_next_4obs
