path,category,size_mb,status,rows,columns,error
data/processed/legacy_xbrl/q4quarter_all/IBM/IBM_q4quarter.parquet,processed_data,0.02,PASS,16,29,
data/processed/legacy_xbrl/q4quarter_all/IBM/IBM_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ICE/ICE_q4quarter.parquet,processed_data,0.016,PASS,12,24,
data/processed/legacy_xbrl/q4quarter_all/ICE/ICE_q4quarter_summary.parquet,processed_data,0.003,PASS,12,4,
data/processed/legacy_xbrl/q4quarter_all/IDXX/IDXX_q4quarter.parquet,processed_data,0.02,PASS,15,29,
data/processed/legacy_xbrl/q4quarter_all/IDXX/IDXX_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/INTC/INTC_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/INTC/INTC_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/INTU/INTU_q4quarter.parquet,processed_data,0.018,PASS,15,27,
data/processed/legacy_xbrl/q4quarter_all/INTU/INTU_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ISRG/ISRG_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/ISRG/ISRG_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/ITW/ITW_q4quarter.parquet,processed_data,0.018,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/ITW/ITW_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/JCI/JCI_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/JCI/JCI_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/JNJ/JNJ_q4quarter.parquet,processed_data,0.019,PASS,16,27,
data/processed/legacy_xbrl/q4quarter_all/JNJ/JNJ_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/JPM/JPM_q4quarter.parquet,processed_data,0.013,PASS,16,19,
data/processed/legacy_xbrl/q4quarter_all/JPM/JPM_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/KDP/KDP_q4quarter.parquet,processed_data,0.019,PASS,15,28,
data/processed/legacy_xbrl/q4quarter_all/KDP/KDP_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/KHC/KHC_q4quarter.parquet,processed_data,0.019,PASS,10,28,
data/processed/legacy_xbrl/q4quarter_all/KHC/KHC_q4quarter_summary.parquet,processed_data,0.003,PASS,10,4,
data/processed/legacy_xbrl/q4quarter_all/KKR/KKR_q4quarter.parquet,processed_data,0.014,PASS,14,21,
data/processed/legacy_xbrl/q4quarter_all/KKR/KKR_q4quarter_summary.parquet,processed_data,0.003,PASS,15,4,
data/processed/legacy_xbrl/q4quarter_all/KLAC/KLAC_q4quarter.parquet,processed_data,0.02,PASS,14,30,
data/processed/legacy_xbrl/q4quarter_all/KLAC/KLAC_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/KMB/KMB_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/KMB/KMB_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/KMI/KMI_q4quarter.parquet,processed_data,0.018,PASS,14,27,
data/processed/legacy_xbrl/q4quarter_all/KMI/KMI_q4quarter_summary.parquet,processed_data,0.003,PASS,15,4,
data/processed/legacy_xbrl/q4quarter_all/KO/KO_q4quarter.parquet,processed_data,0.019,PASS,16,28,
data/processed/legacy_xbrl/q4quarter_all/KO/KO_q4quarter_summary.parquet,processed_data,0.003,PASS,16,4,
data/processed/legacy_xbrl/q4quarter_all/KR/KR_q4quarter.parquet,processed_data,0.016,PASS,16,23,
