model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
extra_trees_cfg3_seed42,train,11058,7029,0.5185955586530817,0.9990016539993992,0.9994288809025145,0.9877405559515324,0.9857732252098449,0.9867559099971518,3943,86,100,6929,success_resilience_next_4q,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.813
extra_trees_cfg3_seed42,validation,4190,2414,0.5185955586530817,0.944574208632825,0.9514058712901696,0.8814026792750197,0.9266777133388566,0.9034733441033924,1475,301,177,2237,success_resilience_next_4q,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.813
extra_trees_cfg3_seed42,test,4046,2647,0.5185955586530817,0.9573150231707951,0.9685790502848189,0.9315849486887116,0.9259539100868909,0.9287608942781357,1219,180,196,2451,success_resilience_next_4q,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.813
extra_trees_cfg3_seed202,train,11058,7029,0.4977618801479673,0.9990535963814204,0.9994587404343165,0.9867991483321504,0.9890453834115805,0.9879209890578371,3936,93,77,6952,success_resilience_next_4q,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.682
extra_trees_cfg3_seed202,validation,4190,2414,0.4977618801479673,0.9435117594811051,0.9484657214506722,0.8753419304415787,0.927920463960232,0.9008646692137543,1457,319,174,2240,success_resilience_next_4q,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.682
extra_trees_cfg3_seed202,test,4046,2647,0.4977618801479673,0.9562275714776031,0.9684344529243998,0.927519818799547,0.9282206271250473,0.9278700906344411,1207,192,190,2457,success_resilience_next_4q,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.682
extra_trees_cfg3_seed777,train,11058,7029,0.468395455507413,0.9990467813714067,0.9994542965342199,0.9847392963119966,0.9914639351259069,0.988090174393875,3921,108,60,6969,success_resilience_next_4q,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.698
extra_trees_cfg3_seed777,validation,4190,2414,0.468395455507413,0.9441625241645955,0.9497156674054978,0.8693814829043411,0.9374482187241093,0.9021327486545745,1436,340,151,2263,success_resilience_next_4q,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.698
extra_trees_cfg3_seed777,test,4046,2647,0.468395455507413,0.9575488779426613,0.9681113136962399,0.9220440134278255,0.9338874197204382,0.927927927927928,1190,209,175,2472,success_resilience_next_4q,extra_trees,777,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,1.698
gradient_boosting_cfg1_seed42,train,11058,7029,0.37362764469849047,0.96369446424505,0.9746285873024493,0.9041114235971608,0.960449566083369,0.9314293598233996,3313,716,278,6751,success_resilience_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.213
gradient_boosting_cfg1_seed42,validation,4190,2414,0.37362764469849047,0.941850326921785,0.9412844751152655,0.8796728971962616,0.9357912178956089,0.9068647129666799,1467,309,155,2259,success_resilience_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.213
gradient_boosting_cfg1_seed42,test,4046,2647,0.37362764469849047,0.9597806247810987,0.9693319884618928,0.9336332958380202,0.9406875708349074,0.937147158449379,1222,177,157,2490,success_resilience_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.213
gradient_boosting_cfg1_seed202,train,11058,7029,0.34410084542468544,0.9638911108293299,0.9753096269618771,0.8986602997745059,0.9638639920330061,0.9301208127402525,3265,764,254,6775,success_resilience_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.206
gradient_boosting_cfg1_seed202,validation,4190,2414,0.34410084542468544,0.9422813710562261,0.9418659267460503,0.8754818812644565,0.9407622203811102,0.9069488817891374,1453,323,143,2271,success_resilience_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.206
gradient_boosting_cfg1_seed202,test,4046,2647,0.34410084542468544,0.9600782090289004,0.9701115796636357,0.9315985130111524,0.9467321496033245,0.9391043657485478,1215,184,141,2506,success_resilience_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.206
gradient_boosting_cfg1_seed777,train,11058,7029,0.3654238160113107,0.9637127729636618,0.9749162933738561,0.900880469583778,0.960734101579172,0.9298450946643717,3286,743,276,6753,success_resilience_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.211
gradient_boosting_cfg1_seed777,validation,4190,2414,0.3654238160113107,0.9415841898236265,0.9411868783243083,0.8793774319066148,0.9362054681027341,0.9069020866773676,1466,310,154,2260,success_resilience_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.211
gradient_boosting_cfg1_seed777,test,4046,2647,0.3654238160113107,0.9602240307111265,0.9707040838226072,0.9326347305389222,0.9414431431809596,0.9370182365106223,1219,180,155,2492,success_resilience_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 2, ""n_estimators"": 180, ""subsample"": 0.85}",True,11.211
gradient_boosting_cfg2_seed42,train,11058,7029,0.3113155367498371,0.9792264723520164,0.9874563346982519,0.9152519716615426,0.9741072698819178,0.943762922122674,3395,634,182,6847,success_resilience_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.891
gradient_boosting_cfg2_seed42,validation,4190,2414,0.3113155367498371,0.9442394963314599,0.9450208107492353,0.8726090283091048,0.9449047224523612,0.9073190135242641,1443,333,133,2281,success_resilience_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.891
gradient_boosting_cfg2_seed42,test,4046,2647,0.3113155367498371,0.9610392819308303,0.9686760438469997,0.9315985130111524,0.9467321496033245,0.9391043657485478,1215,184,141,2506,success_resilience_next_4q,gradient_boosting,42,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.891
gradient_boosting_cfg2_seed202,train,11058,7029,0.4048540086161054,0.978934097829151,0.9868221920751952,0.9300757054370269,0.9613031725707782,0.945431649643207,3521,508,272,6757,success_resilience_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.84
gradient_boosting_cfg2_seed202,validation,4190,2414,0.4048540086161054,0.9453401983176217,0.948799291112127,0.8868742609381158,0.932062966031483,0.9089072914562716,1489,287,164,2250,success_resilience_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.84
gradient_boosting_cfg2_seed202,test,4046,2647,0.4048540086161054,0.9619625492114423,0.9710110179960085,0.9387366818873668,0.9319984888553079,0.9353554502369668,1238,161,180,2467,success_resilience_next_4q,gradient_boosting,202,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.84
gradient_boosting_cfg2_seed777,train,11058,7029,0.3999135490374163,0.9788029706805204,0.9869414420392107,0.9284245166598107,0.9632949210413999,0.9455383326351069,3507,522,258,6771,success_resilience_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.819
gradient_boosting_cfg2_seed777,validation,4190,2414,0.3999135490374163,0.9434716406547392,0.9432230387977515,0.8863008290564548,0.9299917149958575,0.9076207802708712,1488,288,169,2245,success_resilience_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.819
gradient_boosting_cfg2_seed777,test,4046,2647,0.3999135490374163,0.9613712962980465,0.9695384898645197,0.9391403575503994,0.9327540612013601,0.9359363153904473,1239,160,178,2469,success_resilience_next_4q,gradient_boosting,777,"{""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.85}",True,22.819
