model,split,rows,positives,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target,model_family,seed,params_json,sample_weighted,fit_seconds
extra_trees_cfg2_seed202,train,17145,1555,0.5340907054714044,0.9779355221935078,0.8500436095004178,0.6170970614425646,0.8913183279742766,0.7292817679558011,14730,860,169,1386,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.682
extra_trees_cfg2_seed202,validation,6029,834,0.5340907054714044,0.8914294550884797,0.6720127757451506,0.6328392246294184,0.6654676258992805,0.6487434248977205,4873,322,279,555,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.682
extra_trees_cfg2_seed202,test,5734,575,0.5340907054714044,0.8845098055740496,0.6375361510951931,0.6142625607779578,0.6591304347826087,0.6359060402684563,4921,238,196,379,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.682
extra_trees_cfg2_seed777,train,17145,1555,0.5285946531305438,0.9780282108450259,0.850360251755681,0.6024252923343438,0.8945337620578778,0.7199792960662524,14672,918,164,1391,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.663
extra_trees_cfg2_seed777,validation,6029,834,0.5285946531305438,0.8946852142924736,0.6796617294733347,0.6334080717488789,0.6774580335731415,0.6546929316338356,4868,327,269,565,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.663
extra_trees_cfg2_seed777,test,5734,575,0.5285946531305438,0.885847779734866,0.6406651102005801,0.6046875,0.6730434782608695,0.637037037037037,4906,253,188,387,failure_pressure_conservative_v2_next_4obs,extra_trees,777,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",False,0.663
extra_trees_cfg3_seed42,train,17145,1555,0.3424413079459111,0.999620665403043,0.9964913607449515,0.7396477867682056,0.9993569131832798,0.850109409190372,15043,547,1,1554,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.666
extra_trees_cfg3_seed42,validation,6029,834,0.3424413079459111,0.916678091597944,0.6950091669913039,0.6277836691410392,0.709832134292566,0.6662915025323579,4844,351,242,592,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.666
extra_trees_cfg3_seed42,test,5734,575,0.3424413079459111,0.9271645162105903,0.6648771790436208,0.6174298375184638,0.7269565217391304,0.6677316293929711,4900,259,157,418,failure_pressure_conservative_v2_next_4obs,extra_trees,42,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.666
extra_trees_cfg3_seed202,train,17145,1555,0.34878255121382873,0.9996034229213633,0.9963469076409244,0.7485549132947977,0.9993569131832798,0.8559625447535114,15068,522,1,1554,failure_pressure_conservative_v2_next_4obs,extra_trees,202,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 500}",False,2.626
