target,target_family,model,calibrator,split,rows,positives,positive_share,brier_score,log_loss,expected_calibration_error_10bin,roc_auc,pr_auc,mean_predicted_probability,observed_positive_rate,selected_model_by_validation_pr_auc,selected_calibrator_by_validation_brier,selection_note
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,4046,2214,0.5472071181413742,0.0939401948616037,0.30779846194292787,0.005681052643027037,0.9340842366757002,0.9266943259783051,0.5472071181413742,0.5472071181413742,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
quality_success_cashflow_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,3998,2458,0.6148074037018509,0.07825898314999542,0.27609547332420564,0.03646484389779758,0.9465195809072945,0.9488301311891699,0.5806739614248065,0.6148074037018509,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
sector_relative_improvement_next_4obs,robustness_extension,random_forest,uncalibrated,validation,2538,866,0.3412135539795114,0.1831399776234944,0.5486592070072356,0.08154259414598702,0.778443622440523,0.6594440261834273,0.40179430855726395,0.3412135539795114,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
sector_relative_improvement_next_4obs,robustness_extension,random_forest,uncalibrated,test,2318,709,0.3058671268334771,0.17202625300597638,0.5242000150889213,0.12044723309858593,0.8222253000356773,0.6581905819135214,0.4119283229248596,0.3058671268334771,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
sector_relative_improvement_next_4obs,robustness_extension,random_forest,sigmoid_validation,validation,2538,866,0.3412135539795114,0.1754517087568934,0.5267047609802509,0.02834930642384303,0.778443622440523,0.6594440261834273,0.3412129477314662,0.3412135539795114,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
sector_relative_improvement_next_4obs,robustness_extension,random_forest,sigmoid_validation,test,2318,709,0.3058671268334771,0.15683500174461615,0.4813170896752875,0.05403027985437189,0.8222253000356773,0.6581905819135214,0.3540606569553884,0.3058671268334771,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
sector_relative_improvement_next_4obs,robustness_extension,random_forest,isotonic_validation,validation,2538,866,0.3412135539795114,0.17218838239137016,0.5155557190743871,0.012571178020161096,0.7831599390035028,0.648030244076225,0.3412135539795114,0.3412135539795114,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
sector_relative_improvement_next_4obs,robustness_extension,random_forest,isotonic_validation,test,2318,709,0.3058671268334771,0.15686931059393902,0.5639289470915863,0.049503862482382296,0.8195486250209286,0.6386695892005901,0.35267018371633724,0.3058671268334771,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
persistent_resilience_next_6obs,robustness_extension,random_forest,uncalibrated,validation,4191,2216,0.528752087807206,0.09838631167970731,0.3323347130207872,0.06784044079946007,0.9386450669469453,0.932961972489781,0.5164447393324011,0.528752087807206,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
persistent_resilience_next_6obs,robustness_extension,random_forest,uncalibrated,test,4027,2461,0.6111249068785697,0.08774468770136275,0.3120326706660852,0.10702564907206236,0.9517878651536122,0.9588397960922604,0.5391512556028365,0.6111249068785697,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
persistent_resilience_next_6obs,robustness_extension,random_forest,sigmoid_validation,validation,4191,2216,0.528752087807206,0.09416169913453386,0.3104391848045446,0.02384073442671014,0.9386450669469453,0.932961972489781,0.5287513275857697,0.528752087807206,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
persistent_resilience_next_6obs,robustness_extension,random_forest,sigmoid_validation,test,4027,2461,0.6111249068785697,0.07874179670367543,0.27314097947556654,0.05405028673984483,0.9517878651536122,0.9588397960922604,0.5653574302568675,0.6111249068785697,True,False,model selected by validation PR-AUC; calibrator selected by validation Brier score
persistent_resilience_next_6obs,robustness_extension,random_forest,isotonic_validation,validation,4191,2216,0.528752087807206,0.09186702476596126,0.2980654993180137,0.0018328621256327045,0.9400719736781977,0.9307830942320758,0.528752087807206,0.528752087807206,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
persistent_resilience_next_6obs,robustness_extension,random_forest,isotonic_validation,test,4027,2461,0.6111249068785697,0.0789484745827584,0.29316906175659424,0.05240804714965544,0.9512706004214924,0.9554674947805716,0.5588698814251887,0.6111249068785697,True,True,model selected by validation PR-AUC; calibrator selected by validation Brier score
