Sector,target,rows,known_rows,missing_rows,positives,positive_share_all_rows,positive_share_known,firms
Consumer Defensive,recovery_next_4obs,912,469,443,317,0.3475877192982456,0.67590618336887,16
Consumer Discretionary,recovery_next_4obs,59,21,38,10,0.1694915254237288,0.47619047619047616,1
Energy,recovery_next_4obs,2244,866,1378,534,0.23796791443850268,0.6166281755196305,43
Financial Services,recovery_next_4obs,4150,2867,1283,689,0.16602409638554216,0.240320892919428,73
Healthcare,recovery_next_4obs,2812,748,2064,312,0.11095305832147938,0.41711229946524064,52
Industrials,recovery_next_4obs,5627,1481,4146,872,0.15496712280078195,0.5887913571910871,103
Real Estate,recovery_next_4obs,1889,1225,664,968,0.5124404446797247,0.7902040816326531,38
Technology,recovery_next_4obs,4298,1068,3230,476,0.11074918566775244,0.44569288389513106,86
Utilities,recovery_next_4obs,2131,689,1442,566,0.2656030032848428,0.8214804063860668,40
Agriculture,quality_success_cashflow_next_4obs,117,29,88,21,0.1794871794871795,0.7241379310344828,3
Basic Materials,quality_success_cashflow_next_4obs,338,192,146,167,0.4940828402366864,0.8697916666666666,6
Communication Services,quality_success_cashflow_next_4obs,1674,700,974,289,0.17264038231780168,0.41285714285714287,32
Consumer Cyclical,quality_success_cashflow_next_4obs,2811,1295,1516,554,0.19708288865172535,0.4277992277992278,56
Consumer Defensive,quality_success_cashflow_next_4obs,912,528,384,355,0.3892543859649123,0.6723484848484849,16
Consumer Discretionary,quality_success_cashflow_next_4obs,59,42,17,19,0.3220338983050847,0.4523809523809524,1
Energy,quality_success_cashflow_next_4obs,2244,1080,1164,702,0.31283422459893045,0.65,43
Financial Services,quality_success_cashflow_next_4obs,4150,3390,760,1276,0.3074698795180723,0.376401179941003,73
Healthcare,quality_success_cashflow_next_4obs,2812,1336,1476,853,0.3033428165007112,0.6384730538922155,52
Industrials,quality_success_cashflow_next_4obs,5627,2608,3019,1739,0.30904567264972455,0.6667944785276073,103
Real Estate,quality_success_cashflow_next_4obs,1889,1532,357,1203,0.636844891476972,0.7852480417754569,38
Technology,quality_success_cashflow_next_4obs,4298,2648,1650,1781,0.4143787808282922,0.672583081570997,86
Utilities,quality_success_cashflow_next_4obs,2131,769,1362,500,0.2346316283435007,0.6501950585175552,40
