prediction_year,Sector,market_health_regime,rows,firms,distress_next_4q_positive,success_resilience_next_4q_positive,market_stress_score_mean,market_health_score_mean,distress_next_4q_share,success_resilience_next_4q_share
2014,Utilities,healthy,148,36,0,36,-0.4650168383186637,0.4650168383186637,0.0,0.24324324324324326
2014,Utilities,neutral,1,1,0,1,-0.12924431567206385,0.12924431567206385,0.0,1.0
2015,Agriculture,healthy,4,2,0,2,-0.4181209606534904,0.4181209606534904,0.0,0.5
2015,Agriculture,neutral,4,2,0,2,-0.06432605310219894,0.06432605310219894,0.0,0.5
2015,Basic Materials,healthy,9,5,0,5,-0.38721928172986375,0.38721928172986375,0.0,0.5555555555555556
2015,Basic Materials,neutral,11,5,0,7,-0.10667272076506995,0.10667272076506995,0.0,0.6363636363636364
2015,Communication Services,healthy,57,29,0,11,-0.3849279166333699,0.3849279166333699,0.0,0.19298245614035087
2015,Communication Services,neutral,60,30,0,14,-0.08869748043408664,0.08869748043408664,0.0,0.23333333333333334
2015,Consumer Cyclical,healthy,79,49,0,25,-0.39093442708382203,0.39093442708382203,0.0,0.31645569620253167
2015,Consumer Cyclical,neutral,115,49,0,32,-0.05459643770671449,0.05459643770671449,0.0,0.2782608695652174
2015,Consumer Cyclical,stressed,3,3,0,0,0.3126029342824188,-0.3126029342824188,0.0,0.0
2015,Consumer Defensive,healthy,26,14,0,11,-0.3932814621944696,0.3932814621944696,0.0,0.4230769230769231
2015,Consumer Defensive,neutral,30,15,0,12,-0.05565071354367761,0.05565071354367761,0.0,0.4
2015,Consumer Defensive,stressed,3,3,0,2,0.2926189705806863,-0.2926189705806863,0.0,0.6666666666666666
2015,Consumer Discretionary,healthy,2,1,0,2,-0.3340354597583536,0.3340354597583536,0.0,1.0
2015,Consumer Discretionary,neutral,2,1,0,2,-0.11915737122529516,0.11915737122529516,0.0,1.0
2015,Energy,healthy,89,42,10,24,-0.3858642124298606,0.3858642124298606,0.11235955056179775,0.2696629213483146
2015,Energy,neutral,83,42,6,14,-0.08898689083729835,0.08898689083729835,0.07228915662650602,0.1686746987951807
2015,Financial Services,healthy,136,69,0,52,-0.3853687901927763,0.3853687901927763,0.0,0.38235294117647056
2015,Financial Services,neutral,143,70,0,56,-0.09363359846410649,0.09363359846410649,0.0,0.3916083916083916
2015,Financial Services,stressed,1,1,0,0,0.2800810073495695,-0.2800810073495695,0.0,0.0
2015,Healthcare,healthy,90,47,0,19,-0.3785476408970228,0.3785476408970228,0.0,0.2111111111111111
2015,Healthcare,neutral,98,47,0,26,-0.0932941317086945,0.0932941317086945,0.0,0.2653061224489796
2015,Healthcare,stressed,1,1,0,0,0.35873984806416565,-0.35873984806416565,0.0,0.0
2015,Industrials,healthy,167,92,0,69,-0.39183877889725083,0.39183877889725083,0.0,0.41317365269461076
2015,Industrials,neutral,207,93,0,81,-0.08757532772966273,0.08757532772966273,0.0,0.391304347826087
2015,Industrials,stressed,3,3,0,1,0.2662525266058245,-0.2662525266058245,0.0,0.3333333333333333
2015,Real Estate,healthy,60,32,0,45,-0.3911433955651289,0.3911433955651289,0.0,0.75
2015,Real Estate,neutral,63,31,0,45,-0.08505030697432078,0.08505030697432078,0.0,0.7142857142857143
2015,Technology,healthy,122,67,2,66,-0.38719574196460743,0.38719574196460743,0.01639344262295082,0.5409836065573771
2015,Technology,neutral,143,67,2,73,-0.07006324177448112,0.07006324177448112,0.013986013986013986,0.5104895104895105
2015,Technology,stressed,8,7,0,4,0.2859239549166826,-0.2859239549166826,0.0,0.5
2015,Utilities,healthy,71,36,0,18,-0.3818229099355458,0.3818229099355458,0.0,0.2535211267605634
2015,Utilities,neutral,81,36,0,21,-0.08160934155828636,0.08160934155828636,0.0,0.25925925925925924
2016,Agriculture,neutral,6,2,0,3,-0.05494900019746767,0.05494900019746767,0.0,0.5
2016,Agriculture,stressed,2,2,0,1,0.30508434059687217,-0.30508434059687217,0.0,0.5
2016,Basic Materials,neutral,14,5,0,8,-0.04589063038355474,0.04589063038355474,0.0,0.5714285714285714
2016,Basic Materials,stressed,6,5,0,3,0.31425823638179223,-0.31425823638179223,0.0,0.5
2016,Communication Services,neutral,93,30,0,23,-0.02835966793304365,0.02835966793304365,0.0,0.24731182795698925
2016,Communication Services,stressed,28,25,0,6,0.33844039411042065,-0.33844039411042065,0.0,0.21428571428571427
2016,Consumer Cyclical,neutral,151,49,0,44,-0.04680072085209005,0.04680072085209005,0.0,0.2913907284768212
2016,Consumer Cyclical,stressed,39,36,1,11,0.3352608569463159,-0.3352608569463159,0.02564102564102564,0.28205128205128205
2016,Consumer Defensive,neutral,47,15,0,21,-0.04103936767051665,0.04103936767051665,0.0,0.44680851063829785
2016,Consumer Defensive,stressed,12,11,0,5,0.3719346143194262,-0.3719346143194262,0.0,0.4166666666666667
2016,Consumer Discretionary,neutral,3,1,0,3,0.023717719302043454,-0.023717719302043454,0.0,1.0
2016,Consumer Discretionary,stressed,1,1,0,1,0.2656865829481532,-0.2656865829481532,0.0,1.0
2016,Energy,neutral,130,40,3,26,-0.02253053657324088,0.02253053657324088,0.023076923076923078,0.2
2016,Energy,stressed,34,34,1,8,0.3166203309171482,-0.3166203309171482,0.029411764705882353,0.23529411764705882
2016,Financial Services,neutral,210,70,0,79,-0.014879198852139761,0.014879198852139761,0.0,0.3761904761904762
2016,Financial Services,stressed,71,67,0,29,0.3143514757075431,-0.3143514757075431,0.0,0.4084507042253521
2016,Healthcare,neutral,143,47,0,37,-0.026785650964472482,0.026785650964472482,0.0,0.25874125874125875
2016,Healthcare,stressed,48,45,0,12,0.3308720069925714,-0.3308720069925714,0.0,0.25
2016,Industrials,neutral,275,94,0,106,-0.029618759866409695,0.029618759866409695,0.0,0.38545454545454544
2016,Industrials,stressed,98,90,0,39,0.34514250487406734,-0.34514250487406734,0.0,0.3979591836734694
2016,Real Estate,neutral,92,32,0,71,-0.002933610690611994,0.002933610690611994,0.0,0.7717391304347826
2016,Real Estate,severe_stress,3,1,0,3,0.5115125001022953,-0.5115125001022953,0.0,1.0
2016,Real Estate,stressed,35,31,0,25,0.3133043085079235,-0.3133043085079235,0.0,0.7142857142857143
2016,Technology,neutral,206,70,0,105,-0.02430678447103782,0.02430678447103782,0.0,0.5097087378640777
2016,Technology,stressed,59,54,0,32,0.3296854645001725,-0.3296854645001725,0.0,0.5423728813559322
2016,Utilities,neutral,113,36,0,28,-0.00561231370117328,0.00561231370117328,0.0,0.24778761061946902
2016,Utilities,stressed,36,33,0,9,0.31202695264805214,-0.31202695264805214,0.0,0.25
2017,Agriculture,neutral,8,2,0,4,-0.1878075928061555,0.1878075928061555,0.0,0.5
2017,Basic Materials,neutral,21,6,0,15,-0.15407798918291218,0.15407798918291218,0.0,0.7142857142857143
2017,Communication Services,healthy,1,1,0,1,-0.31363942858208016,0.31363942858208016,0.0,1.0
2017,Communication Services,neutral,119,30,0,31,-0.18188554805028428,0.18188554805028428,0.0,0.2605042016806723
2017,Consumer Cyclical,healthy,6,6,0,0,-0.30191521318187997,0.30191521318187997,0.0,0.0
2017,Consumer Cyclical,neutral,194,50,4,50,-0.17399668675462573,0.17399668675462573,0.020618556701030927,0.25773195876288657
2017,Consumer Defensive,healthy,1,1,0,0,-0.29923360628915846,0.29923360628915846,0.0,0.0
2017,Consumer Defensive,neutral,61,15,0,31,-0.1750999594794485,0.1750999594794485,0.0,0.5081967213114754
2017,Consumer Discretionary,neutral,4,1,0,2,-0.1976691565708123,0.1976691565708123,0.0,0.5
2017,Energy,healthy,1,1,0,0,-0.2992744367446482,0.2992744367446482,0.0,0.0
2017,Energy,neutral,160,41,0,49,-0.17352688170244546,0.17352688170244546,0.0,0.30625
2017,Financial Services,neutral,286,70,0,104,-0.18078888605535237,0.18078888605535237,0.0,0.36363636363636365
2017,Healthcare,healthy,2,2,0,1,-0.2992744367446482,0.2992744367446482,0.0,0.5
2017,Healthcare,neutral,192,47,0,51,-0.17366198201188557,0.17366198201188557,0.0,0.265625
2017,Industrials,healthy,2,2,0,2,-0.30614445843927973,0.30614445843927973,0.0,1.0
2017,Industrials,neutral,379,96,0,148,-0.1707526551177092,0.1707526551177092,0.0,0.39050131926121373
2017,Real Estate,neutral,131,33,0,100,-0.1839191939714199,0.1839191939714199,0.0,0.7633587786259542
2017,Technology,healthy,5,5,0,3,-0.30071061358785284,0.30071061358785284,0.0,0.6
2017,Technology,neutral,281,72,0,148,-0.1680633398074197,0.1680633398074197,0.0,0.5266903914590747
2017,Utilities,neutral,151,37,1,38,-0.184594914262548,0.184594914262548,0.006622516556291391,0.25165562913907286
2018,Agriculture,neutral,5,2,0,0,0.0838952520060116,-0.0838952520060116,0.0,0.0
2018,Agriculture,stressed,3,1,0,1,0.2810217639955986,-0.2810217639955986,0.0,0.3333333333333333
2018,Basic Materials,neutral,14,6,0,11,0.0883847471460221,-0.0883847471460221,0.0,0.7857142857142857
2018,Basic Materials,stressed,8,5,0,6,0.3152622238931864,-0.3152622238931864,0.0,0.75
2018,Communication Services,neutral,87,30,0,32,0.10934837281878139,-0.10934837281878139,0.0,0.367816091954023
2018,Communication Services,stressed,33,20,0,13,0.3269494860309642,-0.3269494860309642,0.0,0.3939393939393939
2018,Consumer Cyclical,neutral,118,48,1,28,0.10948587668960047,-0.10948587668960047,0.00847457627118644,0.23728813559322035
2018,Consumer Cyclical,stressed,80,41,2,20,0.33305290171613877,-0.33305290171613877,0.025,0.25
2018,Consumer Defensive,neutral,37,15,0,16,0.10588467772652466,-0.10588467772652466,0.0,0.43243243243243246
2018,Consumer Defensive,stressed,24,14,0,13,0.33080602657819835,-0.33080602657819835,0.0,0.5416666666666666
2018,Consumer Discretionary,neutral,3,1,0,3,0.06903571723837172,-0.06903571723837172,0.0,1.0
2018,Consumer Discretionary,stressed,1,1,0,0,0.3092966342137427,-0.3092966342137427,0.0,0.0
2018,Energy,neutral,114,40,0,45,0.10164314234412378,-0.10164314234412378,0.0,0.39473684210526316
2018,Energy,severe_stress,1,1,0,0,0.6376185838572926,-0.6376185838572926,0.0,0.0
2018,Energy,stressed,47,29,0,17,0.3167881318473705,-0.3167881318473705,0.0,0.3617021276595745
2018,Financial Services,neutral,188,70,0,77,0.08969678612962444,-0.08969678612962444,0.0,0.4095744680851064
2018,Financial Services,stressed,93,59,0,42,0.31556396538853265,-0.31556396538853265,0.0,0.45161290322580644
2018,Healthcare,neutral,133,47,0,41,0.09820853360366501,-0.09820853360366501,0.0,0.3082706766917293
