event_type,Sector,rows,firms,distress_rows,distress_share,success_resilience_share,avg_roa,avg_leverage,avg_cash_assets
natural_disaster,Utilities,105,36,0,0.0,0.8292682926829268,0.009806299278416874,0.635897081569932,0.028619862115968626
pandemic,Energy,278,38,6,0.02158273381294964,0.4971751412429379,-0.043200150419529564,1.9865787924514824,0.05162857821617315
pandemic,Consumer Cyclical,374,53,4,0.0106951871657754,0.3620689655172414,0.005308271765736697,0.7776154636092811,0.15187649093043887
pandemic,Industrials,782,99,5,0.00639386189258312,0.7175732217573222,0.012972142605864455,0.6765200854815648,0.11481931643975037
pandemic,Communication Services,231,30,1,0.004329004329004329,0.4666666666666667,0.0015280058959031915,0.7109661001068002,0.11353159619823044
pandemic,ALL,4017,518,16,0.003983071944236993,0.5807142857142857,0.006063874252297405,0.7656083967378952,0.1125527274701304
pandemic,Agriculture,18,3,0,0.0,1.0,0.004137541445571528,0.45746680556943853,0.03287264647254539
pandemic,Basic Materials,47,6,0,0.0,1.0,0.013124350739168013,0.5076445494929342,0.08001498920458737
pandemic,Consumer Defensive,120,15,0,0.0,0.6375,0.02424861475617528,0.7665592818549849,0.08642802815751534
pandemic,Consumer Discretionary,9,1,0,0.0,0.0,-0.0004030825655474332,0.7496839433568395,0.222485529429268
pandemic,Financial Services,561,71,0,0.0,0.39517625231910947,0.010127828446257477,0.8008376616949713,0.09089998841321006
pandemic,Healthcare,404,50,0,0.0,0.6652719665271967,-0.006114869965145219,0.6411593192211796,0.1704586128178446
pandemic,Real Estate,285,38,0,0.0,0.7072243346007605,0.0073795233934967185,0.5166255599807434,0.06309634315463217
pandemic,Technology,621,81,0,0.0,0.6378947368421053,0.021461698378174694,0.6171662663679485,0.16406052608332405
pandemic,Utilities,287,36,0,0.0,0.7063492063492064,0.005772736483730178,0.6794136937525388,0.02790816642487324
political_policy,Consumer Cyclical,90,49,1,0.011111111111111112,0.49056603773584906,0.013023383974906759,0.6767247997690984,0.08435656936802673
political_policy,ALL,957,485,1,0.0010449320794148381,0.6376582278481012,0.007807495843460205,0.6560192107439898,0.0904339379892583
political_policy,Agriculture,4,2,0,0.0,1.0,0.014214887608934476,0.292095163223959,0.010437810003268424
political_policy,Basic Materials,10,5,0,0.0,0.875,0.01729016521016212,0.6013218707812866,0.053419063683660506
political_policy,Communication Services,58,29,0,0.0,0.5333333333333333,0.011087576383308354,0.6403272649204516,0.06938234153045425
political_policy,Consumer Defensive,30,15,0,0.0,0.8,0.027548750125523998,0.7862312493140184,0.07389234577260341
political_policy,Consumer Discretionary,2,1,0,0.0,1.0,0.0224440971133937,0.6828901769745461,0.13799203528859966
political_policy,Energy,76,37,0,0.0,0.5,-0.029880433162242526,0.6679233556325747,0.06838360130373955
political_policy,Financial Services,138,69,0,0.0,0.44029850746268656,0.009182265359233024,0.7805323725550034,0.0836420103802855
political_policy,Healthcare,97,47,0,0.0,0.5918367346938775,-0.007461680371570205,0.5785061089166846,0.14901606514099397
political_policy,Industrials,183,92,0,0.0,0.7358490566037735,0.01807810371037712,0.649048158141086,0.08590171752732413
political_policy,Real Estate,65,32,0,0.0,0.8,0.004649204387162681,0.5553678205446394,0.05337500512333461
political_policy,Technology,130,71,0,0.0,0.8085106382978723,0.017719375785204963,0.5708855768597956,0.1443063408911933
political_policy,Utilities,74,36,0,0.0,0.7333333333333333,0.0044137399083001745,0.6302725913614842,0.02707247336961322
sovereign_debt,Industrials,981,94,10,0.010193679918450561,0.8212996389891697,0.017331302391342403,0.6037238623827978,0.10435645201660476
sovereign_debt,ALL,4922,473,10,0.0020316944331572532,0.6669918699186992,0.010371016673604233,0.6146612900984063,0.10186615389320926
sovereign_debt,Agriculture,16,2,0,0.0,1.0,0.007039684741442113,0.3038638785498845,0.013009901255250145
sovereign_debt,Basic Materials,60,5,0,0.0,1.0,0.024370032965702944,0.5012270497750143,0.06272729502407862
sovereign_debt,Communication Services,264,28,0,0.0,0.4789915966386555,0.008276763148780853,0.6535297004947073,0.0994560249931763
sovereign_debt,Consumer Cyclical,478,47,0,0.0,0.6437246963562753,0.01767468942277318,0.5595657505852234,0.11228777173263861
sovereign_debt,Consumer Defensive,169,14,0,0.0,0.7708333333333334,0.026807997670956905,0.7070580762651341,0.07993570881044854
sovereign_debt,Consumer Discretionary,10,1,0,0.0,1.0,0.06081513412302059,0.36230354081790467,0.18880328451430448
sovereign_debt,Energy,421,41,0,0.0,0.5745614035087719,0.007570423905475525,0.4940688346245383,0.06250731315341702
sovereign_debt,Financial Services,739,67,0,0.0,0.42296918767507,0.008502322232004,0.7677081613811184,0.07936753582833508
sovereign_debt,Healthcare,448,44,0,0.0,0.6203208556149733,-0.016899825305095553,0.5782236091558307,0.15520436352867256
sovereign_debt,Real Estate,287,30,0,0.0,0.8301158301158301,-0.010128303622292344,0.6035932383355207,0.054431654034148694
sovereign_debt,Technology,667,66,0,0.0,0.7952069716775599,0.02237895145693789,0.4869865024096099,0.16595733281699998
sovereign_debt,Utilities,382,36,0,0.0,0.7682119205298014,0.007288436327361148,0.6401108861833543,0.032704149685295204
supply_chain,Consumer Cyclical,573,50,21,0.03664921465968586,0.4530386740331492,0.0023098245398858845,0.7814967776930782,0.1343914945319918
supply_chain,Financial Services,836,72,8,0.009569377990430622,0.4007682458386684,0.009626552363473078,0.8067362917110548,0.08338678694101315
supply_chain,Industrials,1161,98,11,0.009474590869939707,0.7694524495677233,0.017241004348106628,0.6777067232325784,0.10812337074127676
supply_chain,ALL,5984,515,54,0.009024064171122994,0.6327316486161252,0.015213593995718158,0.742006408396231,0.10305364363355661
supply_chain,Utilities,405,38,3,0.007407407407407408,0.7052023121387283,0.005919218723400814,0.6991052285641677,0.027269119402515835
supply_chain,Real Estate,408,35,3,0.007352941176470588,0.7676240208877284,0.0101747103543539,0.5315202234395028,0.07240060722780842
supply_chain,Healthcare,584,52,3,0.005136986301369863,0.7285714285714285,0.03835793074966749,0.5733782248168326,0.14625975036914066
supply_chain,Technology,994,84,5,0.005030181086519115,0.6542416452442159,0.023343025787179936,0.6117276930916689,0.140134632386628
supply_chain,Agriculture,24,2,0,0.0,1.0,0.0058678271880271415,0.42358565082623406,0.03501817679083419
supply_chain,Basic Materials,72,6,0,0.0,1.0,0.017821921412152143,0.5143705424599258,0.07359771783295774
supply_chain,Communication Services,336,29,0,0.0,0.40641711229946526,0.008318536764619047,0.7188645415446195,0.09683011401743549
supply_chain,Consumer Defensive,188,16,0,0.0,0.6904761904761905,0.024677732460706234,0.7596907581998404,0.07613732543954063
supply_chain,Consumer Discretionary,12,1,0,0.0,0.3333333333333333,0.008760781340651967,0.870003760831128,0.16020696855054764
supply_chain,Energy,391,34,0,0.0,0.8396624472573839,0.0010027633654472407,1.7325563793025531,0.06044391175698319
trade_policy,Energy,272,38,14,0.051470588235294115,0.4642857142857143,-0.025322162937413625,1.2570610012022354,0.042175221027020045
trade_policy,Consumer Cyclical,357,50,18,0.05042016806722689,0.34234234234234234,0.00629268339054956,0.7877065175843525,0.07839776471772104
trade_policy,Communication Services,214,31,4,0.018691588785046728,0.5169491525423728,0.009753570878933327,0.6430645749534774,0.08190004617330185
trade_policy,ALL,3530,508,43,0.012181303116147308,0.5937629937629938,0.008738460968327396,0.7173468716210023,0.08833853244034617
trade_policy,Utilities,258,37,3,0.011627906976744186,0.7130434782608696,0.0060520954474510055,0.6651874027669042,0.017973465557700817
trade_policy,Industrials,672,97,4,0.005952380952380952,0.73989898989899,0.01723788625833808,0.6523603183857055,0.07881778916314966
trade_policy,Agriculture,17,3,0,0.0,0.7142857142857143,0.001398176182710806,0.45410648256424324,0.0146709435618055
trade_policy,Basic Materials,41,6,0,0.0,0.8529411764705882,-0.0007267202412770604,0.5001171012068105,0.06870591370814548
trade_policy,Consumer Defensive,107,15,0,0.0,0.7183098591549296,0.022247112588569245,0.7509282146191559,0.06483259136542614
trade_policy,Consumer Discretionary,7,1,0,0.0,0.0,-0.006809142171450914,0.7059570998155237,0.29807690548357685
trade_policy,Financial Services,486,70,0,0.0,0.4322033898305085,0.009958992507021912,0.7931955098617911,0.0785253546377508
trade_policy,Healthcare,331,49,0,0.0,0.6208791208791209,-0.002965955365785684,0.6577773945770693,0.1616478376479043
trade_policy,Real Estate,235,34,0,0.0,0.7918552036199095,0.010745979572878026,0.5368121962612448,0.04346656409409194
trade_policy,Technology,533,78,0,0.0,0.6658163265306123,0.021748066244237804,0.6035121919329621,0.15412877724141877
