target,target_family,model,calibrator,split,threshold_type,threshold_label,threshold,rows,positives,selected_rows,selected_share,precision,recall,f1,base_rate,lift_vs_base_rate
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_10pct,0.9298245614035088,4210,1667,421,0.1,0.9738717339667459,0.24595080983803239,0.39272030651340994,0.3959619952494062,2.459508098380324
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.10,0.1,4210,1667,2617,0.6216152019002376,0.6155903706534199,0.9664067186562687,0.7521008403361344,0.3959619952494062,1.5546703422020984
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.25,0.25,4210,1667,2307,0.5479809976247031,0.6723016905071522,0.9304139172165566,0.7805737292400604,0.3959619952494062,1.6978944913228018
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.50,0.5,4210,1667,1591,0.3779097387173397,0.7938403519798869,0.7576484703059388,0.7753222836095766,0.3959619952494062,2.0048397611489643
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.75,0.75,4210,1667,1025,0.24346793349168647,0.8985365853658537,0.55248950209958,0.6842496285289748,0.3959619952494062,2.269249564721202
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.90,0.9,4210,1667,460,0.10926365795724466,0.9717391304347827,0.26814637072585484,0.42031029619181953,0.3959619952494062,2.454122219034454
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.4411764705882353,4210,1667,1940,0.46080760095011875,0.7391752577319588,0.8602279544091181,0.7951205988355975,0.3959619952494062,1.8667833443620556
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,top_rank_share,top_1pct,1.0,4098,1678,41,0.01,1.0,0.02443384982121573,0.047702152414194295,0.40946803318692043,2.4421930870083433
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,top_rank_share,top_5pct,0.9710144927536232,4098,1678,205,0.05,0.975609756097561,0.11918951132300358,0.21242697822623477,0.40946803318692043,2.3826274019593594
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,top_rank_share,top_10pct,0.9298245614035088,4098,1678,410,0.1,0.9512195121951219,0.232419547079857,0.37356321839080464,0.40946803318692043,2.323061716910375
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.10,0.1,4098,1678,2729,0.6659346022449976,0.5921582997434958,0.9630512514898689,0.7333787156796006,0.40946803318692043,1.4461649060481798
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.25,0.25,4098,1678,2446,0.5968765251342119,0.6463614063777596,0.9421930870083433,0.7667313288069835,0.40946803318692043,1.5785393583647551
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.50,0.5,4098,1678,1724,0.42069302098584677,0.7621809744779582,0.7830750893921334,0.7724867724867724,0.40946803318692043,1.8613931069193521
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.75,0.75,4098,1678,1127,0.2750122010736945,0.8633540372670807,0.5798569725864124,0.6937611408199643,0.40946803318692043,2.108477261454408
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.90,0.9,4098,1678,427,0.10419716935090288,0.9437939110070258,0.2401668653158522,0.38289786223277905,0.40946803318692043,2.304926965021926
industry_relative_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.49523809523809514,4098,1678,2059,0.502440214738897,0.722195240407965,0.8861740166865316,0.795825528498796,0.40946803318692043,1.7637402235946606
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_1pct,1.0,950,542,10,0.01,1.0,0.01845018450184502,0.036231884057971016,0.5705263157894737,1.7527675276752768
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_5pct,0.9871794871794872,950,542,48,0.05,1.0,0.08856088560885608,0.16271186440677968,0.5705263157894737,1.7527675276752768
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,top_rank_share,top_10pct,0.9871794871794872,950,542,95,0.1,1.0,0.1752767527675277,0.29827315541601257,0.5705263157894737,1.7527675276752768
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.10,0.1,950,542,698,0.7347368421052631,0.7650429799426934,0.985239852398524,0.8612903225806451,0.5705263157894737,1.3409424925194813
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.25,0.25,950,542,626,0.6589473684210526,0.8354632587859425,0.9649446494464945,0.8955479452054794,0.5705263157894737,1.4643728705657664
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.50,0.5,950,542,555,0.5842105263157895,0.8864864864864865,0.9077490774907749,0.8969917958067458,0.5705263157894737,1.5538047272364617
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.75,0.75,950,542,480,0.5052631578947369,0.9291666666666667,0.8228782287822878,0.8727984344422701,0.5705263157894737,1.6286131611316115
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,probability_threshold,p_ge_0.90,0.9,950,542,349,0.36736842105263157,0.9598853868194842,0.6180811808118081,0.7519640852974188,0.5705263157894737,1.682455936307214
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,validation,split_f1_optimal_diagnostic,diagnostic_split_f1_optimal,0.5,950,542,555,0.5842105263157895,0.8864864864864865,0.9077490774907749,0.8969917958067458,0.5705263157894737,1.5538047272364617
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,top_rank_share,top_1pct,1.0,3028,1920,31,0.01,1.0,0.016145833333333335,0.03177857508969759,0.6340819022457067,1.5770833333333334
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,top_rank_share,top_5pct,1.0,3028,1920,152,0.05,1.0,0.07916666666666666,0.14671814671814673,0.6340819022457067,1.5770833333333334
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,top_rank_share,top_10pct,0.9871794871794872,3028,1920,303,0.1,0.9966996699669967,0.15729166666666666,0.27170490328385066,0.6340819022457067,1.5718784378437844
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.10,0.1,3028,1920,2318,0.7655217965653897,0.8261432269197584,0.9973958333333334,0.903728173666824,0.6340819022457067,1.302896714121369
stress_resilience_next_4obs,validated_secondary_production,random_forest,isotonic_validation,test,probability_threshold,p_ge_0.25,0.25,3028,1920,2160,0.71334214002642,0.8773148148148148,0.9869791666666666,0.9289215686274509,0.6340819022457067,1.3835985725308642
