target,prediction_year,Sector,rows,known_rows,positives,positive_share_known
persistent_resilience_next_6obs,2015,Real Estate,123,115,88,0.7652173913043478
persistent_resilience_next_6obs,2015,Technology,273,197,136,0.6903553299492385
persistent_resilience_next_6obs,2015,Utilities,148,57,32,0.5614035087719298
persistent_resilience_next_6obs,2016,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2016,Basic Materials,20,16,11,0.6875
persistent_resilience_next_6obs,2016,Communication Services,120,60,28,0.4666666666666667
persistent_resilience_next_6obs,2016,Consumer Cyclical,190,115,57,0.4956521739130435
persistent_resilience_next_6obs,2016,Consumer Defensive,59,39,28,0.717948717948718
persistent_resilience_next_6obs,2016,Consumer Discretionary,4,4,3,0.75
persistent_resilience_next_6obs,2016,Energy,164,88,31,0.3522727272727273
persistent_resilience_next_6obs,2016,Financial Services,281,269,114,0.42379182156133827
persistent_resilience_next_6obs,2016,Healthcare,191,94,47,0.5
persistent_resilience_next_6obs,2016,Industrials,373,210,144,0.6857142857142857
persistent_resilience_next_6obs,2016,Real Estate,130,120,96,0.8
persistent_resilience_next_6obs,2016,Technology,265,192,140,0.7291666666666666
persistent_resilience_next_6obs,2016,Utilities,145,58,38,0.6551724137931034
persistent_resilience_next_6obs,2017,Agriculture,8,4,0,0.0
persistent_resilience_next_6obs,2017,Basic Materials,21,16,13,0.8125
persistent_resilience_next_6obs,2017,Communication Services,119,62,31,0.5
persistent_resilience_next_6obs,2017,Consumer Cyclical,200,122,49,0.4016393442622951
persistent_resilience_next_6obs,2017,Consumer Defensive,62,42,30,0.7142857142857143
persistent_resilience_next_6obs,2017,Consumer Discretionary,4,4,0,0.0
persistent_resilience_next_6obs,2017,Energy,160,89,52,0.5842696629213483
persistent_resilience_next_6obs,2017,Financial Services,286,268,105,0.3917910447761194
persistent_resilience_next_6obs,2017,Healthcare,194,98,54,0.5510204081632653
persistent_resilience_next_6obs,2017,Industrials,381,214,156,0.7289719626168224
persistent_resilience_next_6obs,2017,Real Estate,131,119,91,0.7647058823529411
persistent_resilience_next_6obs,2017,Technology,286,206,145,0.7038834951456311
persistent_resilience_next_6obs,2017,Utilities,147,63,34,0.5396825396825397
persistent_resilience_next_6obs,2018,Agriculture,8,4,0,0.0
persistent_resilience_next_6obs,2018,Basic Materials,22,18,12,0.6666666666666666
persistent_resilience_next_6obs,2018,Communication Services,120,69,37,0.5362318840579711
persistent_resilience_next_6obs,2018,Consumer Cyclical,198,126,45,0.35714285714285715
persistent_resilience_next_6obs,2018,Consumer Defensive,61,41,28,0.6829268292682927
persistent_resilience_next_6obs,2018,Consumer Discretionary,4,4,0,0.0
persistent_resilience_next_6obs,2018,Energy,162,98,52,0.5306122448979592
persistent_resilience_next_6obs,2018,Financial Services,281,269,109,0.4052044609665427
persistent_resilience_next_6obs,2018,Healthcare,189,100,54,0.54
persistent_resilience_next_6obs,2018,Industrials,387,222,164,0.7387387387387387
persistent_resilience_next_6obs,2018,Real Estate,130,121,97,0.8016528925619835
persistent_resilience_next_6obs,2018,Technology,294,214,143,0.6682242990654206
persistent_resilience_next_6obs,2018,Utilities,153,71,43,0.6056338028169014
persistent_resilience_next_6obs,2019,Agriculture,11,4,4,1.0
persistent_resilience_next_6obs,2019,Basic Materials,24,20,17,0.85
persistent_resilience_next_6obs,2019,Communication Services,124,72,28,0.3888888888888889
persistent_resilience_next_6obs,2019,Consumer Cyclical,195,126,35,0.2777777777777778
persistent_resilience_next_6obs,2019,Consumer Defensive,60,40,25,0.625
persistent_resilience_next_6obs,2019,Consumer Discretionary,4,4,0,0.0
persistent_resilience_next_6obs,2019,Energy,163,103,10,0.0970873786407767
persistent_resilience_next_6obs,2019,Financial Services,281,269,107,0.39776951672862454
persistent_resilience_next_6obs,2019,Healthcare,189,105,66,0.6285714285714286
persistent_resilience_next_6obs,2019,Industrials,393,227,136,0.5991189427312775
persistent_resilience_next_6obs,2019,Real Estate,135,125,87,0.696
persistent_resilience_next_6obs,2019,Technology,304,224,140,0.625
persistent_resilience_next_6obs,2019,Utilities,148,64,36,0.5625
persistent_resilience_next_6obs,2020,Agriculture,10,4,4,1.0
persistent_resilience_next_6obs,2020,Basic Materials,24,20,20,1.0
persistent_resilience_next_6obs,2020,Communication Services,119,69,31,0.4492753623188406
persistent_resilience_next_6obs,2020,Consumer Cyclical,192,112,41,0.36607142857142855
persistent_resilience_next_6obs,2020,Consumer Defensive,61,41,22,0.5365853658536586
persistent_resilience_next_6obs,2020,Consumer Discretionary,5,5,0,0.0
persistent_resilience_next_6obs,2020,Energy,158,92,24,0.2608695652173913
persistent_resilience_next_6obs,2020,Financial Services,282,268,100,0.373134328358209
persistent_resilience_next_6obs,2020,Healthcare,203,119,75,0.6302521008403361
persistent_resilience_next_6obs,2020,Industrials,400,242,156,0.6446280991735537
persistent_resilience_next_6obs,2020,Real Estate,142,128,82,0.640625
persistent_resilience_next_6obs,2020,Technology,307,229,149,0.6506550218340611
persistent_resilience_next_6obs,2020,Utilities,150,62,36,0.5806451612903226
persistent_resilience_next_6obs,2021,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2021,Basic Materials,24,20,18,0.9
persistent_resilience_next_6obs,2021,Communication Services,118,65,26,0.4
persistent_resilience_next_6obs,2021,Consumer Cyclical,202,126,48,0.38095238095238093
persistent_resilience_next_6obs,2021,Consumer Defensive,60,40,26,0.65
persistent_resilience_next_6obs,2021,Consumer Discretionary,4,4,0,0.0
persistent_resilience_next_6obs,2021,Energy,159,85,61,0.7176470588235294
persistent_resilience_next_6obs,2021,Financial Services,287,267,84,0.3146067415730337
persistent_resilience_next_6obs,2021,Healthcare,201,118,79,0.6694915254237288
persistent_resilience_next_6obs,2021,Industrials,408,247,174,0.7044534412955465
persistent_resilience_next_6obs,2021,Real Estate,143,134,89,0.664179104477612
persistent_resilience_next_6obs,2021,Technology,322,248,146,0.5887096774193549
persistent_resilience_next_6obs,2021,Utilities,145,59,30,0.5084745762711864
persistent_resilience_next_6obs,2022,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2022,Basic Materials,24,20,18,0.9
persistent_resilience_next_6obs,2022,Communication Services,119,61,22,0.36065573770491804
persistent_resilience_next_6obs,2022,Consumer Cyclical,207,134,50,0.373134328358209
persistent_resilience_next_6obs,2022,Consumer Defensive,60,40,28,0.7
persistent_resilience_next_6obs,2022,Consumer Discretionary,4,4,0,0.0
persistent_resilience_next_6obs,2022,Energy,150,80,72,0.9
persistent_resilience_next_6obs,2022,Financial Services,284,267,89,0.3333333333333333
persistent_resilience_next_6obs,2022,Healthcare,199,115,75,0.6521739130434783
persistent_resilience_next_6obs,2022,Industrials,406,239,168,0.702928870292887
persistent_resilience_next_6obs,2022,Real Estate,140,130,87,0.6692307692307692
persistent_resilience_next_6obs,2022,Technology,328,258,142,0.5503875968992248
persistent_resilience_next_6obs,2022,Utilities,143,57,33,0.5789473684210527
persistent_resilience_next_6obs,2023,Agriculture,8,4,4,1.0
persistent_resilience_next_6obs,2023,Basic Materials,24,20,20,1.0
persistent_resilience_next_6obs,2023,Communication Services,113,53,18,0.33962264150943394
persistent_resilience_next_6obs,2023,Consumer Cyclical,196,119,53,0.44537815126050423
persistent_resilience_next_6obs,2023,Consumer Defensive,63,43,31,0.7209302325581395
persistent_resilience_next_6obs,2023,Consumer Discretionary,4,4,3,0.75
persistent_resilience_next_6obs,2023,Energy,140,74,64,0.8648648648648649
persistent_resilience_next_6obs,2023,Financial Services,279,254,109,0.42913385826771655
persistent_resilience_next_6obs,2023,Healthcare,198,119,81,0.680672268907563
persistent_resilience_next_6obs,2023,Industrials,389,221,166,0.751131221719457
persistent_resilience_next_6obs,2023,Real Estate,141,121,92,0.7603305785123967
persistent_resilience_next_6obs,2023,Technology,328,255,165,0.6470588235294118
persistent_resilience_next_6obs,2023,Utilities,135,54,36,0.6666666666666666
persistent_resilience_next_6obs,2024,Agriculture,8,4,3,0.75
persistent_resilience_next_6obs,2024,Basic Materials,24,20,19,0.95
persistent_resilience_next_6obs,2024,Communication Services,106,54,20,0.37037037037037035
persistent_resilience_next_6obs,2024,Consumer Cyclical,174,102,57,0.5588235294117647
persistent_resilience_next_6obs,2024,Consumer Defensive,64,44,25,0.5681818181818182
persistent_resilience_next_6obs,2024,Consumer Discretionary,4,4,4,1.0
persistent_resilience_next_6obs,2024,Energy,127,68,58,0.8529411764705882
persistent_resilience_next_6obs,2024,Financial Services,268,246,107,0.4349593495934959
persistent_resilience_next_6obs,2024,Healthcare,184,113,82,0.7256637168141593
persistent_resilience_next_6obs,2024,Industrials,379,212,153,0.7216981132075472
persistent_resilience_next_6obs,2024,Real Estate,125,116,95,0.8189655172413793
persistent_resilience_next_6obs,2024,Technology,315,240,170,0.7083333333333334
persistent_resilience_next_6obs,2024,Utilities,129,54,38,0.7037037037037037
