target,model,feature_group,importance,importance_share
quality_success_cashflow_next_4obs,logistic_l2,missingness_indicator,13.357305194850003,0.253540651246226
quality_success_cashflow_next_4obs,random_forest,accounting_fundamental,0.21913575396690813,0.21913575396690813
quality_success_cashflow_next_4obs,random_forest,financial_quality_cashflow,0.07428454663971888,0.07428454663971888
quality_success_cashflow_next_4obs,random_forest,financial_ratio,0.35110862586422886,0.35110862586422886
quality_success_cashflow_next_4obs,random_forest,firm_trend,0.2179154441978626,0.2179154441978626
quality_success_cashflow_next_4obs,random_forest,global_event_context,0.003002842969312248,0.003002842969312248
quality_success_cashflow_next_4obs,random_forest,industry_sector,0.013511564335514092,0.013511564335514092
quality_success_cashflow_next_4obs,random_forest,macro_conditions,0.07480212919682737,0.07480212919682737
quality_success_cashflow_next_4obs,random_forest,market_health_v2,0.0035305746495399486,0.0035305746495399486
quality_success_cashflow_next_4obs,random_forest,missingness_indicator,0.042708518180087904,0.042708518180087904
quality_success_cashflow_next_4obs,gradient_boosting,accounting_fundamental,0.29458192140945283,0.2945819214094528
quality_success_cashflow_next_4obs,gradient_boosting,financial_quality_cashflow,0.03327213348617102,0.033272133486171016
quality_success_cashflow_next_4obs,gradient_boosting,financial_ratio,0.5660133313242816,0.5660133313242814
quality_success_cashflow_next_4obs,gradient_boosting,firm_trend,0.07942620842444331,0.0794262084244433
quality_success_cashflow_next_4obs,gradient_boosting,global_event_context,0.00023478316361292835,0.0002347831636129283
quality_success_cashflow_next_4obs,gradient_boosting,industry_sector,0.012464902726004782,0.012464902726004779
quality_success_cashflow_next_4obs,gradient_boosting,macro_conditions,0.007161198243998725,0.007161198243998723
quality_success_cashflow_next_4obs,gradient_boosting,market_health_v2,2.3512532813247061e-07,2.3512532813247056e-07
quality_success_cashflow_next_4obs,gradient_boosting,missingness_indicator,0.0068452860967067675,0.006845286096706766
sector_relative_improvement_next_4obs,logistic_l2,accounting_fundamental,5.400055865329082,0.14830929947309268
sector_relative_improvement_next_4obs,logistic_l2,financial_quality_cashflow,1.342013127037909,0.036857586609904014
sector_relative_improvement_next_4obs,logistic_l2,financial_ratio,1.6437409345591338,0.0451443600954035
sector_relative_improvement_next_4obs,logistic_l2,firm_trend,2.1711942423732,0.05963054922706029
sector_relative_improvement_next_4obs,logistic_l2,global_event_context,0.43412560063371436,0.011922999561301415
sector_relative_improvement_next_4obs,logistic_l2,industry_sector,6.168943752784668,0.16942634470479692
sector_relative_improvement_next_4obs,logistic_l2,macro_conditions,5.184694806199101,0.14239453699472257
sector_relative_improvement_next_4obs,logistic_l2,market_health_v2,1.4196042815182979,0.03898858118723395
sector_relative_improvement_next_4obs,logistic_l2,missingness_indicator,12.646397884160875,0.34732574214648465
sector_relative_improvement_next_4obs,random_forest,accounting_fundamental,0.200392371607673,0.200392371607673
sector_relative_improvement_next_4obs,random_forest,financial_quality_cashflow,0.08036350492081738,0.08036350492081738
sector_relative_improvement_next_4obs,random_forest,financial_ratio,0.16847394955902006,0.16847394955902006
sector_relative_improvement_next_4obs,random_forest,firm_trend,0.2788857072563191,0.2788857072563191
sector_relative_improvement_next_4obs,random_forest,global_event_context,0.005266421582119942,0.005266421582119942
sector_relative_improvement_next_4obs,random_forest,industry_sector,0.018040203872044448,0.018040203872044448
sector_relative_improvement_next_4obs,random_forest,macro_conditions,0.1827570688570627,0.1827570688570627
sector_relative_improvement_next_4obs,random_forest,market_health_v2,0.008329128936669969,0.008329128936669969
sector_relative_improvement_next_4obs,random_forest,missingness_indicator,0.05749164340827349,0.05749164340827349
sector_relative_improvement_next_4obs,gradient_boosting,accounting_fundamental,0.16180952569832133,0.16180952569832135
sector_relative_improvement_next_4obs,gradient_boosting,financial_quality_cashflow,0.04744278946440067,0.04744278946440068
sector_relative_improvement_next_4obs,gradient_boosting,financial_ratio,0.18688056457885244,0.18688056457885246
sector_relative_improvement_next_4obs,gradient_boosting,firm_trend,0.4514936729552858,0.45149367295528586
sector_relative_improvement_next_4obs,gradient_boosting,global_event_context,0.0003922535148900598,0.00039225351489005986
sector_relative_improvement_next_4obs,gradient_boosting,industry_sector,0.08348468888146124,0.08348468888146125
sector_relative_improvement_next_4obs,gradient_boosting,macro_conditions,0.03627882340018428,0.03627882340018429
sector_relative_improvement_next_4obs,gradient_boosting,market_health_v2,0.00017780934254255407,0.0001778093425425541
sector_relative_improvement_next_4obs,gradient_boosting,missingness_indicator,0.03203987216406151,0.03203987216406152
persistent_resilience_next_6obs,logistic_l2,accounting_fundamental,10.276466169218516,0.17382293626880554
persistent_resilience_next_6obs,logistic_l2,financial_quality_cashflow,1.6762176871250585,0.028352653081710172
persistent_resilience_next_6obs,logistic_l2,financial_ratio,8.397152118292421,0.1420349771470524
persistent_resilience_next_6obs,logistic_l2,firm_trend,5.175983818525208,0.0875500089817641
