ticker,shortname,Sector,Industry,Fulltimeemployees,Weight
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,32967.0,0.0009833502255494
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,140473.0,0.0243174937863789
TT,Trane Technologies plc,Industrials,Building Products & Equipment,40000.0,0.0015267170770852
TTD,The Trade Desk Inc.,Technology,Media & Information Services,3522.0,
TTWO,"Take-Two Interactive Software, ",Communication Services,Electronic Gaming & Multimedia,12371.0,0.0005749800766432
TXN,Texas Instruments Incorporated,Technology,Semiconductors,34000.0,0.0030668986069218
UBER,"Uber Technologies, Inc.",Technology,Software - Application,30800.0,0.0023007186880755
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,440000.0,0.0082806891423673
UNP,Union Pacific Corporation,Industrials,Railroads,30518.0,0.0024685471166568
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,500000.0,0.0019295908181313
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,26300.0,0.0008531704148266
USB,U.S. Bancorp,Financial Services,Banks - Regional,70000.0,0.0013449662723025
V,Visa Inc.,Financial Services,Credit Services,,0.0110688708065074
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,7500.0,0.0007033806624259
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology,5400.0,0.0018406599323276
VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,4870.0,0.0008566472874199
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,101200.0,0.0030241609517909
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment,35300.0,0.0004718098644033
WDAY,Workday Inc.,Technology,Software - Application,20482.0,
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,533.0,0.0013963394764462
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,220167.0,0.0042134876359495
WM,"Waste Management, Inc.",Industrials,Waste Management,48000.0,0.0014863153179179
WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream,5601.0,0.0011731177120881
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,2100000.0,0.0133315249578394
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,11311.0,0.0006963322964299
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,62000.0,0.0083714826727031
ZS,Zscaler Inc.,Technology,Internet Security,7348.0,
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,14100.0,0.0013380109058871
