ticker,company,candidate_role,universe_group,priority,event_year,event_type,Sector,Industry,Fulltimeemployees,Weight,notes
LLY,Eli Lilly and Company,core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,43000.0,0.0124222278222706,Original defended-thesis large-cap universe.
LMT,Lockheed Martin Corporation,core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,122000.0,0.0020854548727749,Original defended-thesis large-cap universe.
LOW,"Lowe's Companies, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Home Improvement Retail,300000.0,0.0025165297417959,Original defended-thesis large-cap universe.
LRCX,Lam Research Corporation,core,legacy_large_cap_core,keep,,,Technology,Semiconductor Equipment & Materials,17700.0,0.0016618796609002,Original defended-thesis large-cap universe.
LULU,lululemon athletica inc.,core,legacy_large_cap_core,keep,,,Consumer Cyclical,Apparel Retail,38000.0,0.0008313275252152,Original defended-thesis large-cap universe.
MA,Mastercard Incorporated,core,legacy_large_cap_core,keep,,,Financial Services,Credit Services,33400.0,0.0087193282229185,Original defended-thesis large-cap universe.
MAR,Marriott International,core,legacy_large_cap_core,keep,,,Consumer Cyclical,Lodging,411000.0,0.001419699467774,Original defended-thesis large-cap universe.
MCD,McDonald's Corporation,core,legacy_large_cap_core,keep,,,Consumer Cyclical,Restaurants,100000.0,0.0037734940924097,Original defended-thesis large-cap universe.
MCHP,Microchip Technology Incorporat,core,legacy_large_cap_core,keep,,,Technology,Semiconductors,22300.0,0.0005363092003201,Original defended-thesis large-cap universe.
MCK,McKesson Corporation,core,legacy_large_cap_core,keep,,,Healthcare,Medical Distribution,45000.0,0.0013240166060798,Original defended-thesis large-cap universe.
MCO,Moody's Corporation,core,legacy_large_cap_core,keep,,,Financial Services,Financial Data & Stock Exchanges,15776.0,0.0015205692300076,Original defended-thesis large-cap universe.
MDB,MongoDB Inc.,core,legacy_large_cap_core,keep,,,Technology,Database & File Management Software,5585.0,,Original defended-thesis large-cap universe.
MDLZ,"Mondelez International, Inc.",core,legacy_large_cap_core,keep,,,Consumer Defensive,Confectioners,91000.0,0.0014287891082413,Original defended-thesis large-cap universe.
MDT,Medtronic plc.,core,legacy_large_cap_core,keep,,,Healthcare,Medical Devices,95000.0,0.0018693636412372,Original defended-thesis large-cap universe.
MELI,MercadoLibre Inc.,core,legacy_large_cap_core,keep,,,Consumer Discretionary,Internet Retail,58313.0,,Original defended-thesis large-cap universe.
MET,"MetLife, Inc.",core,legacy_large_cap_core,keep,,,Financial Services,Insurance - Life,45000.0,0.0010135431068243,Original defended-thesis large-cap universe.
META,"Meta Platforms, Inc.",core,legacy_large_cap_core,keep,,,Communication Services,Internet Content & Information,72404.0,0.0265813329085953,Original defended-thesis large-cap universe.
MMC,"Marsh & McLennan Companies, Inc",core,legacy_large_cap_core,keep,,,Financial Services,Insurance Brokers,85000.0,0.0018709147150666,Original defended-thesis large-cap universe.
MMM,3M Company,core,legacy_large_cap_core,keep,,,Industrials,Conglomerates,85000.0,0.0012665954815077,Original defended-thesis large-cap universe.
MNST,Monster Beverage Corporation,core,legacy_large_cap_core,keep,,,Consumer Defensive,Beverages - Non-Alcoholic,5254.0,0.000904937872343,Original defended-thesis large-cap universe.
MO,"Altria Group, Inc.",core,legacy_large_cap_core,keep,,,Consumer Defensive,Tobacco,6400.0,0.0016416770863955,Original defended-thesis large-cap universe.
MPC,Marathon Petroleum Corporation,core,legacy_large_cap_core,keep,,,Energy,Oil & Gas Refining & Marketing,18200.0,0.000771229088628,Original defended-thesis large-cap universe.
MRK,"Merck & Company, Inc.",core,legacy_large_cap_core,keep,,,Healthcare,Drug Manufacturers - General,70000.0,0.0044623948969961,Original defended-thesis large-cap universe.
MRVL,Marvell Technology Inc.,core,legacy_large_cap_core,keep,,,Technology,Semiconductors,7042.0,,Original defended-thesis large-cap universe.
MS,Morgan Stanley,core,legacy_large_cap_core,keep,,,Financial Services,Capital Markets,80000.0,0.0035778648319882,Original defended-thesis large-cap universe.
MSCI,MSCI Inc.,core,legacy_large_cap_core,keep,,,Financial Services,Financial Data & Stock Exchanges,6118.0,0.0008527671710033,Original defended-thesis large-cap universe.
MSFT,Microsoft Corporation,core,legacy_large_cap_core,keep,,,Technology,Software - Infrastructure,228000.0,0.0584008785436112,Original defended-thesis large-cap universe.
MSI,"Motorola Solutions, Inc.",core,legacy_large_cap_core,keep,,,Technology,Communication Equipment,21000.0,0.0014129771161556,Original defended-thesis large-cap universe.
MSTR,MicroStrategy Incorporated,core,legacy_large_cap_core,keep,,,Technology,Software - Application,1483.0,,Original defended-thesis large-cap universe.
MU,"Micron Technology, Inc.",core,legacy_large_cap_core,keep,,,Technology,Semiconductors,48000.0,0.0018064848709125,Original defended-thesis large-cap universe.
NDAQ,"Nasdaq, Inc.",core,legacy_large_cap_core,keep,,,Financial Services,Financial Data & Stock Exchanges,9120.0,0.0008034664131397,Original defended-thesis large-cap universe.
NEE,"NextEra Energy, Inc.",core,legacy_large_cap_core,keep,,,Utilities,Utilities - Regulated Electric,16800.0,0.0026515919568084,Original defended-thesis large-cap universe.
NEM,Newmont Corporation,core,legacy_large_cap_core,keep,,,Basic Materials,Gold,21700.0,0.0007840569142979,Original defended-thesis large-cap universe.
NFLX,"Netflix, Inc.",core,legacy_large_cap_core,keep,,,Communication Services,Entertainment,13000.0,0.0069910576205273,Original defended-thesis large-cap universe.
NKE,"Nike, Inc.",core,legacy_large_cap_core,keep,,,Consumer Cyclical,Footwear & Accessories,79400.0,0.0020604530188037,Original defended-thesis large-cap universe.
NOC,Northrop Grumman Corporation,core,legacy_large_cap_core,keep,,,Industrials,Aerospace & Defense,101000.0,0.0012307758308371,Original defended-thesis large-cap universe.
