experiment,model,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_broader_targets2,logistic_l2,42,test,4350,1385,0.31839080459770114,0.37373966856593155,0.8703891976793029,0.6805645408885547,0.7456445993031359,0.15451263537906137,0.25598086124401914,2892,73,1171,214,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,42,train,17164,5519,0.3215450943835936,0.4787715185023717,0.997202155230796,0.9943798248769316,0.9054974256767979,0.9878601195868817,0.9448873483535529,11076,569,67,5452,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,42,validation,6012,1787,0.2972388556220892,0.4787715185023717,0.9617227643434005,0.908916132608921,0.8063872255489022,0.9043088975937326,0.8525455025059351,3837,388,171,1616,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,42,test,4350,1385,0.31839080459770114,0.4787715185023717,0.9664950292522266,0.9201445274529444,0.8108974358974359,0.9133574007220217,0.8590831918505942,2670,295,120,1265,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,202,train,17164,5519,0.3215450943835936,0.4574036161795031,0.9972239387553096,0.9944279662385167,0.8974021703387044,0.9889472730567131,0.9409533660891303,11021,624,61,5458,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,202,validation,6012,1787,0.2972388556220892,0.4574036161795031,0.9616677980020066,0.9092142816278709,0.7941317941317941,0.9238947957470621,0.8541127780651837,3797,428,136,1651,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,202,test,4350,1385,0.31839080459770114,0.4574036161795031,0.9668293752016608,0.9209232766764567,0.805170239596469,0.9220216606498195,0.859643217771794,2656,309,108,1277,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,777,train,17164,5519,0.3215450943835936,0.459918236669194,0.9972705088187875,0.9945214020943801,0.8990115321252059,0.9887660808117412,0.9417551126067822,11032,613,62,5457,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,777,validation,6012,1787,0.2972388556220892,0.459918236669194,0.9619546825693783,0.9093566878219401,0.7947725072604066,0.9188584219362059,0.8523228652997664,3801,424,145,1642,success_composite_balanced_next_4obs
test_broader_targets2,random_forest,777,test,4350,1385,0.31839080459770114,0.459918236669194,0.9660691217026562,0.9189563777747665,0.8041825095057035,0.916245487364621,0.8565642929463382,2656,309,116,1269,success_composite_balanced_next_4obs
