experiment,model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_target_tweaks3,random_forest,all_features,202,train,17164,4839,0.2819272896760662,0.4796697689169578,0.9972461579282931,0.9932624636526219,0.8965646705462736,0.9869807811531308,0.9396025968915994,11774,551,63,4776,success_stable_balance_next_4obs
test_target_tweaks3,random_forest,all_features,202,validation,6012,1577,0.26230871590153026,0.4796697689169578,0.9619512167223454,0.9002112389182709,0.7990945104697227,0.8953709575142677,0.8444976076555024,4080,355,165,1412,success_stable_balance_next_4obs
test_target_tweaks3,random_forest,all_features,202,test,4350,1188,0.2731034482758621,0.4796697689169578,0.9623959391511574,0.8842318962138501,0.7910228108903605,0.9048821548821548,0.8441303494307029,2878,284,113,1075,success_stable_balance_next_4obs
test_target_tweaks3,gradient_boosting,all_features,42,train,17164,4839,0.2819272896760662,0.5390619492535951,0.9751172165640312,0.9312018808486945,0.806924571630454,0.9439966935317214,0.8700952380952381,11232,1093,271,4568,success_stable_balance_next_4obs
test_target_tweaks3,gradient_boosting,all_features,42,validation,6012,1577,0.26230871590153026,0.5390619492535951,0.9574117510807487,0.8797647004376224,0.7700592353257943,0.9067850348763475,0.8328479906814211,4008,427,147,1430,success_stable_balance_next_4obs
test_target_tweaks3,gradient_boosting,all_features,42,test,4350,1188,0.2731034482758621,0.5390619492535951,0.960916486177397,0.8828724717381757,0.7661064425770309,0.9208754208754208,0.8363914373088686,2828,334,94,1094,success_stable_balance_next_4obs
test_target_tweaks3,gradient_boosting,all_features,202,train,17164,4839,0.2819272896760662,0.5390619492535951,0.9751172165640312,0.9312018808486945,0.806924571630454,0.9439966935317214,0.8700952380952381,11232,1093,271,4568,success_stable_balance_next_4obs
test_target_tweaks3,gradient_boosting,all_features,202,validation,6012,1577,0.26230871590153026,0.5390619492535951,0.9574237613838729,0.879797331996146,0.7701829924650161,0.9074191502853519,0.8331877729257642,4008,427,146,1431,success_stable_balance_next_4obs
test_target_tweaks3,gradient_boosting,all_features,202,test,4350,1188,0.2731034482758621,0.5390619492535951,0.9609164861773969,0.882923840217459,0.7661064425770309,0.9208754208754208,0.8363914373088686,2828,334,94,1094,success_stable_balance_next_4obs
test_target_tweaks4,logistic_l2,all_features,42,train,17197,2557,0.1486887247775775,0.8180667797701968,0.8889557969016799,0.6780645879102201,0.7163461538461539,0.5244427062964412,0.6055543011966584,14109,531,1216,1341,failure_pressure_sector_strict_next_4obs
