experiment,model,feature_set,seed,split,rows,positives,positive_share,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,target
test_target_tweaks1,gradient_boosting,all_features,42,validation,6012,1828,0.3040585495675316,0.6065535024268486,0.9607412812590216,0.9084807633916839,0.8138484696437531,0.887308533916849,0.848992410363779,3813,371,206,1622,success_resilience_quality_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,42,test,4350,1449,0.3331034482758621,0.6065535024268486,0.9671427643641124,0.926452600340268,0.8436692506459949,0.9013112491373361,0.8715382048715382,2659,242,143,1306,success_resilience_quality_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,202,train,17164,5651,0.32923560941505475,0.5601049420383938,0.9749455436978962,0.943738284601906,0.8425572519083969,0.9375331799681472,0.8875115168774604,10523,990,353,5298,success_resilience_quality_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,202,validation,6012,1828,0.3040585495675316,0.5601049420383938,0.9610797201802428,0.9095088762771717,0.8028169014084507,0.9042669584245077,0.8505273990223823,3778,406,175,1653,success_resilience_quality_v2_next_4obs
test_target_tweaks1,gradient_boosting,all_features,202,test,4350,1449,0.3331034482758621,0.5601049420383938,0.9674522647410557,0.9262734862181852,0.8311362209667295,0.9137336093857833,0.8704799474030244,2632,269,125,1324,success_resilience_quality_v2_next_4obs
test_target_tweaks2,logistic_l2,all_features,42,train,17197,1694,0.09850555329417922,0.664416794179412,0.9258253782011646,0.6130297070770652,0.4893037728510307,0.7426210153482881,0.5899179366940211,14190,1313,436,1258,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,logistic_l2,all_features,42,validation,6043,904,0.14959457223233494,0.664416794179412,0.7395108462615398,0.3426250358027076,0.28160919540229884,0.7588495575221239,0.4107784431137725,3389,1750,218,686,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,logistic_l2,all_features,42,test,4412,591,0.13395285584768812,0.664416794179412,0.8255384461416583,0.471470743527477,0.13441350981287084,0.9966159052453468,0.2368791473959381,28,3793,2,589,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,random_forest,all_features,42,train,17197,1694,0.09850555329417922,0.3565748007808771,0.996833571687119,0.9696902474236262,0.6759776536312849,1.0,0.8066666666666666,14691,812,0,1694,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,random_forest,all_features,42,validation,6043,904,0.14959457223233494,0.3565748007808771,0.8866950114257276,0.5978151125231604,0.56289592760181,0.6880530973451328,0.6192135390741663,4656,483,282,622,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,random_forest,all_features,42,test,4412,591,0.13395285584768812,0.3565748007808771,0.9085457470537519,0.6831003136121622,0.5887323943661972,0.7072758037225042,0.6425826287471176,3529,292,173,418,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,random_forest,all_features,202,train,17197,1694,0.09850555329417922,0.374648272541989,0.9968065745891738,0.9695288450612854,0.6942622950819672,1.0,0.8195452346395743,14757,746,0,1694,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,random_forest,all_features,202,validation,6043,904,0.14959457223233494,0.374648272541989,0.8864851379439203,0.5940220243993787,0.5751196172248804,0.6648230088495575,0.6167265264238071,4695,444,303,601,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,random_forest,all_features,202,test,4412,591,0.13395285584768812,0.374648272541989,0.9129549895913179,0.6814045561608635,0.604992657856094,0.6971235194585449,0.6477987421383649,3552,269,179,412,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,gradient_boosting,all_features,42,train,17197,1694,0.09850555329417922,0.6253851069187069,0.9563506046474152,0.7329548484614796,0.5163043478260869,0.8412042502951594,0.6398742703188145,14168,1335,269,1425,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,gradient_boosting,all_features,42,validation,6043,904,0.14959457223233494,0.6253851069187069,0.8857920173168223,0.5934356987570396,0.52101506740682,0.7267699115044248,0.6069284064665128,4535,604,247,657,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,gradient_boosting,all_features,42,test,4412,591,0.13395285584768812,0.6253851069187069,0.9092033472514306,0.6534109164824528,0.5247747747747747,0.7884940778341794,0.6301555104800541,3399,422,125,466,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,gradient_boosting,all_features,202,train,17197,1694,0.09850555329417922,0.632425681697025,0.9563506046474152,0.7329548484614796,0.5204419889502763,0.8341204250295159,0.6409616693127693,14201,1302,281,1413,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,gradient_boosting,all_features,202,validation,6043,904,0.14959457223233494,0.632425681697025,0.8855868794417838,0.594613129964781,0.5228182546036829,0.7223451327433629,0.6065954482117976,4543,596,251,653,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,gradient_boosting,all_features,202,test,4412,591,0.13395285584768812,0.632425681697025,0.9091891767421202,0.6533034888274507,0.5285388127853882,0.7834179357021996,0.6312201772324472,3408,413,128,463,failure_pressure_profit_roa_next_4obs
test_target_tweaks2,logistic_l2,all_features,42,train,17164,1390,0.08098345374038686,0.9761901280181952,0.9575855177402391,0.6439868164028615,0.782608695652174,0.14244604316546763,0.24102251978088865,15719,55,1192,198,success_quality_growth_next_4obs
test_target_tweaks2,logistic_l2,all_features,42,validation,6012,488,0.08117099135063206,0.9761901280181952,0.9036280581901923,0.42509906998567565,0.423785594639866,0.5184426229508197,0.4663594470046083,5180,344,235,253,success_quality_growth_next_4obs
test_target_tweaks2,logistic_l2,all_features,42,test,4350,352,0.08091954022988505,0.9761901280181952,0.9068461787712037,0.4086517747875224,0.42613636363636365,0.6392045454545454,0.5113636363636364,3695,303,127,225,success_quality_growth_next_4obs
test_target_tweaks2,random_forest,all_features,42,train,17164,1390,0.08098345374038686,0.3963409823300203,0.9979911848383599,0.9760993680373948,0.7417289220917823,1.0,0.8517156862745099,15290,484,0,1390,success_quality_growth_next_4obs
test_target_tweaks2,random_forest,all_features,42,validation,6012,488,0.08117099135063206,0.3963409823300203,0.9581568802602058,0.7096459047870339,0.6486988847583643,0.7151639344262295,0.6803118908382066,5335,189,139,349,success_quality_growth_next_4obs
